,Gender,Core_Ind,Parent_Same_LastName,ACU_Distance,PRIZM_HouseholdIncome,QUAL_Familiarity,QUAL_Rank,HS_SIZE,HS_RankPercent,HS_GPA_CALC,NUM_Advanced_Courses,ACT,Visited,Taylor_County,US,Abilene,Texas,CoC,Ethnicity
264529,2,0,2,180.0,48277.0,2.0,3.0,43.0,83.72,4.024,9.0,20.0,0,0,1,0,1,0,1
264531,2,0,2,146.0,46129.0,2.0,1.0,58.0,25.86,2.78,12.0,20.0,0,0,1,0,1,0,3
264532,1,0,2,161.0,74853.0,0.0,0.0,73.0,49.32,3.2,12.0,29.0,0,0,1,0,1,0,1
264535,2,0,2,142.0,31424.0,0.0,0.0,245.0,30.2,2.94,12.0,23.0,0,0,1,0,1,0,3
264538,2,0,2,214.0,61164.0,0.0,0.0,14.0,85.71,4.0,7.0,26.0,0,0,1,0,1,0,3
264539,1,0,1,182.0,60661.0,0.0,0.0,518.0,26.06,2.2,4.0,19.0,0,0,1,0,1,0,3
264540,1,0,2,220.0,59028.0,1.0,3.0,532.0,45.3,2.925,7.0,18.0,0,0,1,0,1,0,3
264541,2,0,2,161.0,49368.0,0.0,3.0,510.0,58.63,2.984,8.0,16.0,0,0,1,0,1,0,3
264542,1,0,2,180.0,107471.0,2.0,3.0,596.0,64.6,3.41,11.0,28.0,1,0,1,0,1,0,1
264546,1,0,2,211.0,67347.0,3.0,5.0,557.0,74.51,3.8,7.0,22.0,1,0,1,0,1,1,1
264548,1,0,2,388.0,49385.0,2.0,3.0,481.0,83.78,3.483,10.0,21.0,1,0,1,0,1,0,3
